,idx,contents
10,강화마루,"질문 :  강화마루를 사용하면 좋은 점이 뭐야?
 강화마루에 대해 알려줘
 강화마루의 단점이 뭐야?
 강화마루의 장점이 뭐야?  답변 : 강화마루는 원목 무늬 필름지를 입힌 후 하드코팅 처리한 바닥재를 의미합니다. 가격은 평당 7~12만원으로, 온도나 습도에 의한 변색이 거의 없고 강도가 뛰어나 수명이 긴 장점이 있습니다. 하지만 필름지로 코팅처리되어 질감이나 보행감이 떨어지는 단점도 있습니다. 물에 젖었을 때 미끄러운 경향이 있어 주의가 필요합니다. 또한 열전도율이 낮고 원재료가 톱밥이라 습기에 약하며 층간소음 방지에 취약한 단점도 있습니다."
11,강화마루 기대수명,"질문 : 강화마루의 기대 수명은 얼마인가요?  답변 : 강화마루의 기대수명은 일반적으로 25년이며, 사용 환경, 유지보수 정도, 사용 빈도 등에 따라 달라질 수 있습니다. 주기적인 관리와 청소를 통해 수명을 늘릴 수 있으며, 폴리우레탄 코팅의 노화와 마모를 방지하기 위해 정기적인 유지보수가 필요합니다. 최신 기술과 재료를 사용한 강화마루는 올바른 관리와 보수로 더 오랜 수명을 기대할 수 있습니다."
12,개별 공간 오픈공간,"질문 : 개별 공간과 오픈 플랜 공간 중에서 어떤 것이 더 나에게 알맞은 것인가요?  답변 : 개별 공간과 오픈 플랜은 각각의 특징을 가지고 있습니다. 개별 공간은 개인의 공간과 프라이버시를 제공하여 조용한 환경을 유지할 수 있고, 오픈 플랜은 공간을 확장시켜 연결감을 높이고 커다란 공간을 만들어 낼 수 있습니다. 선택은 개인의 선호와 생활 방식에 따라 다르며, 활발한 활동이 많은 경우에는 오픈 플랜이 더 적합할 수 있고, 개인적인 시간과 프라이버시를 중요시하는 경우에는 개별 공간이 더 적합할 수 있습니다."
13,거미식물,"질문 : 거미식물은 어떤 효과를 가지고 있나요?  답변 : 거미식물은 주로 실내 공간에 심어두는데, 일산화탄소, 포름알데히드, 자일렌, 톨루엔과 같은 공기 중 독성 물질의 95%를 제거하는 데 탁월한 효과가 있다고 합니다. 이는 거미식물이 공기를 정화하고 실내 환경을 개선하는 데 도움이 될 수 있습니다. 또한, 거미식물은 산소를 생산하며, 공간을 화려하게 꾸며주는 데에도 도움이 됩니다. 따라서 거미식물을 가꾸는 것은 실내 환경을 건강하고 신선하게 유지하는 데 큰 도움이 될 수 있습니다."
14,거실 가구 배치,"질문 : 거실을 더 넓어 보이게 하는데 가구 배치에 어떤 점을 주의해야 할까요?
어떻게 내 거실을 더 밝고 넓어 보이게 꾸밀 수 있을까요?  답변 : 거실을 밝고 넓어 보이게 만들기 위해서는 벽, 가구, 카펫 등을 밝은 톤으로 꾸며보고, 큰 거울을 설치하여 조명과 공간을 활용해 시야를 확장할 수 있습니다. 또한, 열린 책장을 활용하여 물건을 직접적으로 노출시키면 시야를 막지 않고 공간이 더 넓어 보일 수 있습니다. 가구 배치와 조명 처리 등 다양한 방법으로 공간을 활용하고 확장시킬 수 있습니다. 이러한 조합을 통해 더 밝고 넓어 보이는 거실을 꾸밀 수 있습니다."
15,거실 조명,"질문 : 어떤 조명이 거실에 가장 잘 어울릴까요?  답변 : 거실의 조명은 두 가지 모드로 선택할 수 있습니다. 부드러운 조명 모드와 밝은 조도 모드로 선택할 수 있으며, 적정 조도는 100룩스를 기준으로 50~150룩스가 적당합니다. 또한, 다목적으로 사용되는 공간이기 때문에 다양한 활동에 적합한 조명을 고려해볼 수 있으며, 다기능 조명을 추천합니다. 적정 조도를 유지하고, 조명의 분위기를 조절할 수 있는 LED 조명이나 간접조명을 선택하는 것이 좋습니다."
16,건설,"질문 : 건설업은 어떤 종류의 활동을 포함하나요?  답변 : 건설은 건물이나 다른 시설물을 설계하고 건축하거나 고쳐 짓는 일련의 프로세스를 의미합니다. 이는 건축과 토목을 포함하며, 건물을 짓는 것부터 인프라구조물을 만드는 작업 등을 모두 포함합니다. 건설은 설계, 자재 조달, 건축, 공사, 시공, 유지보수 등의 단계를 포함하고 있습니다. 주택, 아파트, 사무실, 다리, 도로, 터널 등을 건설하고 유지하는 모든 공정과 활동을 포함하며, 건축과 토목의 총칭으로 건물을 짓거나 만들거나 하는 일을 의미합니다."
17,건식방식,"질문 : 건식방식은 뭐가 있어?  답변 : 건식방식은 건물을 짓는 방식 중 하나로, 목구조나 철골구조와 같이 규격화된 부재를 조립해 시공하는 방식입니다. 이는 건축물을 구성하는 부재를 사전에 제작하여 공사 현장에서 조립하는 것을 의미하며, 빠른 시공과 공기 단축을 통해 생산성과 효율성을 높일 수 있습니다."
18,건축,"질문 : 건축은 정확히 어떤 것을 의미하나요?  답변 : 건축은 건주거, 상업, 공공 시설 등 다양한 종류의 건물이나 다른 구조물을 계획하고 설계하며 건설하는 과정과 결과물을 의미하며, 건물의 기능, 미적 가치, 안전성, 지속 가능성, 비용 등을 종합적으로 고려하여 설계됩니다. 건축은 인간의 삶과 도시, 사회에 큰 영향을 미치며 디자인, 기술, 환경, 경제 등 다양한 요소를 고려하여 건물을 만들어내는 창의적이고 복잡한 분야이기도 합니다."
19,건축물구조,"질문 : 건축물의 구조를 구분하는 데 어떤 기준을 활용해야 하나요?  답변 : 건축물의 구조는 목구조, 조적조, 철골구조, 콘크리트구조로 구별됩니다. 목구조는 목재를 사용하여 구축되며, 조적조는 벽돌 또는 돌을 쌓아 만든 구조를 말합니다. 철골구조는 철과 강철을 사용하여 건축된 건축물을 말하며, 콘크리트구조는 콘크리트와 강철을 결합하여 만든 건축물을 가리킵니다. 이러한 구조는 건물의 안전과 용도에 따라 선택되고 적용됩니다. 각 구조는 건물의 사용 용도, 지역적인 건축 관행, 그리고 재료의 가용성에 따라 선택됩니다."
20,건축물시공,"질문 : 건축물의 시공방식을 구분하는 데 어떤 기준을 활용해야 하나요?  답변 : 건축물의 시공방식은 주로 습식방식과 건식방식으로 나뉘며, 습식방식은 건축현장에서 시멘트를 사용하여 실시간으로 건축하는 방식이고, 건식방식은 사전에 만들어진 부재를 조합하여 시공하는 방식입니다. 두 방식은 건축물의 특성과 환경에 따라 선택할 수 있습니다."
21,걸레받이,질문 : 걸레받이는 어떤 용도로 사용되는 건가요?  답변 : 걸레받이는 벽과 바닥이 만나는 지점의 경계선을 덮어주고 접촉불량을 가리며 물청소 시 바닥의 먼지가 벽을 오염시키는 것을 방지하는 역할을 합니다. 또한 깨끗한 마감을 제공하고 바닥과 벽의 연결 부분을 보호하고 장식하는 역할도 합니다. 이를 통해 공간의 청결을 유지하고 도구의 수명을 연장시킬 수 있습니다.
22,겨울 도배,"질문 : 겨울 도배 시에 적정 온도는 어느 정도일까요?
 겨울에 도배할 때 특별히 주의해야 하는 사항이 있을까요?  답변 : 겨울철에는 온도가 너무 낮거나 높지 않도록 유의해야 합니다. 도배 작업을 진행할 때 적정 온도는 20도 정도로 권장되며, 겨울철 도배 작업 시에는 온도가 10도 이상 유지되는 것이 이상적입니다. 온도가 너무 낮으면 도배 제품의 접착력이 부족해지고, 건조 시간이 오래 걸릴 수 있습니다. 따라서 도배 작업 전 온도를 체크하고, 필요 시 추가적인 난방기구를 사용하여 작업 환경을 최적화하는 것이 권장됩니다. 또한, 도배 작업 후에는 성급한 환기를 자제하여 도배지가 고르게 건조되도록 주의해야 합니다."
23,결로 판정 기준,"질문 : 결로 판정 기준이 어떻게 돼?  답변 : 결로 판정 기준은 국토교통부 설계기준에 따라 결정됩니다. 실내온도 25도, 상대습도 50%, 외부온도 -15도에서 결로가 발생하지 않는 온도저하율 값인 0.28을 기준으로 판정합니다. 이 기준은 건축물 내부와 외부 온도, 상대습도 등을 종합적으로 고려하여 결로 발생 가능성을 판단하는 목적으로 설정되었습니다."
24,경량목구조,"질문 : 경량목구조 방식은 무엇인가요?  답변 : 경량목구조 방식은 투바이포 공법이라고도 불리며 2x4(inch)의 각재를 사용하여 수평 및 수직 격판이 상호 긴밀하게 결합되어 상자형 구조로 설계됩니다. 이 방식은 건물의 구조와 디자인을 자유롭게 연출할 수 있는 장점이 있을 뿐만 아니라 지진 등에 대한 강한 저항력을 가지고 있습니다. 또한, 경량목구조는 가벼운 목재를 사용하여 지어졌다는 이름을 가지고 있지만, 실제로는 200년 이상의 역사를 가지고 있으며 미국, 캐나다 등에서 가장 보편적으로 사용되는 건축 방식 중 하나입니다."
25,경량철골구조,"질문 : 경량철골구조는 어떤 구조인가요?  답변 : 경량철골구조는 약 1.5~3mm 두께의 철골을 사용하여 파이프, C형 찬넬, LEB 자재 등을 활용하여 건축하는 구조물을 말합니다. 이러한 구조는 대개 주택, 창고, 농가 등에서 사용되며 경제적이면서도 강도가 뛰어나 건축 시간을 단축시킬 수 있는 장점이 있습니다. 경량철골구조는 경제적이면서도 안정성을 확보할 수 있는 장점을 가지고 있어 다양한 건물에 적용됩니다."
26,경질우레탄폼 보온판,"질문 : 경질우레탄폼 보온판에 대해 설명해줘  답변 : 경질우레탄 폼은 PIR을 단열소재로 사용하여 PUR의 장점을 유지하면서 자기 소화성, 내열성, 저연성 등이 개선된 특징을 가지고 있습니다. 작은 두께로도 건축물의 에너지 절약 설계를 충족하며 열전도를 완벽하게 차단합니다. 난연성이 뛰어나고 방습층 없이도 방습이 가능하며 방음 효과도 뛰어납니다. 하지만 원료비가 비싸고 절단이 어렵며 시공방식에 따라 성능이 달라진다는 단점이 있습니다. 또한, 철근콘크리트 구조에 적용되는 난연성 재료이지만 난연3급 시험성적서를 제공하지 못해 소방필증을 받을 수 없습니다. 준불연경질우레탄보드페놀폼이 개발되어 이러한 한계를 극복하고 있습니다."
27,고전 다이닝 룸 인테리어,"질문 : 다이닝 룸을 더 고전적인 분위기로 꾸미려면 어떤 스타일의 가구나 장식품을 활용해야 할까요?  답변 : 다이닝 룸을 전통적으로 꾸미기 위해서는 대형 식탁과 고풍스러운 의자를 선택하는 것이 중요합니다. 또한, 고풍스러운 아트워크나 장식품을 활용하여 분위기를 더해주는 것도 좋은 방법입니다. 전통적인 조명 및 커다란 식기 세트 등을 활용하여 다이닝 룸의 고급스러운 분위기를 강조할 수 있습니다. 또한, 창가에는 커다란 커튼을 활용하여 고급스러운 분위기를 연출할 수 있습니다. 부엌이 아닌 듯한 고급 느낌을 위해 특별한 테이블보와 피아노를 두면 현란함을 느낄 수 있을 것입니다."
28,고풍 인테리어 디자인,"질문 : 고풍스러운 스타일을 위한 인테리어 요소나 소품은 어떤 것들이 있을까요?  답변 : 고풍스러운 스타일을 위한 인테리어 아이디어로는 화려한 카펫, 목재 가구, 그리고 오리엔털 러그를 고려해야 합니다. 또한, 유럽풍의 앤티크한 목재 가구나 화려한 조명, 드레이페를 활용하여 전통적이면서도 우아한 귀족적인 분위기를 연출할 수 있습니다. 벽지나 커튼 등의 소품에서도 전통적인 문양과 서양의 화려한 디자인을 활용하여 인테리어를 완성하는 것이 좋습니다.조명은 조화로운 분위기를 조성하는 데 중요하므로 고풍스러운 조명을 고려하는 것도 좋습니다."
29,곰팡이 식물,"질문 : 곰팡이가 있는 환경에서 어떤 종류의 식물을 키우는 것이 가장 좋을까요?  답변 : 곰팡이가 있는 집에서 키우기 적합한 식물은 아이비입니다. 아이비는 곰팡이로 오염된 공기의 독소나 공해물질을 12시간 안에 78%까지 줄일 수 있어 실내 공기를 정화해고, 곰팡이 번식을 방지하는데 탁월한 효과를 보여줍니다. 그늘진 곳을 포함해서 거의 모든 조건에서 잘 자라는 특성이 있고, 생존력이 강하고 관리가 쉬워서 집안에서 키우기 좋은 식물 중 하나입니다."
30,곰팡이 원인,"질문 : 내외부 온도의 큰 차이에 의해 곰팡이가 발생할 수 있어?
곰팡이 색깔은?
습도가 높으면 곰팡이가 발생할 수 있어?  답변 : 내외부 온도차가 클 경우 도배지에 결로가 발생해 곰팡이가 생길 수 있고, 습도가 높으면 곰팡이가 번식하기 쉽습니다. 특히, 온도가 20도에서 30도 사이에 습도가 60% 이상인 환경에서 곰팡이가 증식하기 쉽습니다. 또한, 통풍이 부족하고 습기가 많은 공간이나 벽이나 바닥에 습기가 스며드는 환경도 곰팡이 증식에 도움이 됩니다. 곰팡이의 색깔은 검정색, 황갈색, 분홍색 등이 있습니다. 곰팡이를 방지하기 위해 온도차를 줄이고, 제습기를 사용하여 습도를 조절하는 거나 꾸준히 환기해주는 것이 중요합니다.  만약 곰팡이 발생이 지속된다면 전문가의 도움을 받아야 합니다. "
31,공간 통합,"질문 :  어떻게 현대적인 예술을 공간에 통합할 수 있을까요?  답변 : 현대적인 예술을 통합하려면 큰 작품, 독특한 조명, 그리고 중심으로 배치해야 합니다. 이를 통해 작품의 고유성을 강조하고 관람자에게 감동적인 공간을 제공할 수 있습니다. 큰 작품과 독특한 조명을 활용하여 현대적 예술의 감각을 살리고, 작품을 중심으로 배치하여 관람객이 편안하게 감상할 수 있도록 배려하는 것이 중요합니다. 공간의 크기와 관중의 위치도 고려하여 통합적인 디자인을 구현하는 것이 효과적입니다."
32,공기정화 식물,"질문 : 공기정화 식물 추천 좀 해줘  답변 : 산세베리아, 고무나무, 아이비, 나비란, 스파티필름, 아레카 야자는 공기 정화 효과가 뛰어나고 키우기 쉬운 식물로 알려져 있습니다. 이들은 미세먼지를 제거하고 유해물질을 흡수하여 건강한 실내 환경을 조성해줍니다."
33,공동주택 라돈 공기질 측정,"질문 : 공동주택의 실내 라돈 측정지점을 어디에 정하는 것이 가장 적합한가요?  답변 : 라돈은 공동주택의 최저층에서 측정하며, 공동주택의 총 세대수에 따라 측정 지점을 결정합니다. 100세대일 때는 3세대를 측정하고, 100세대가 증가할 때마다 1세대씩 추가하여 최대 12세대까지 시료를 채취합니다. 이는 공동주택의 라돈 농도를 측정하고 저감 조치를 취할 수 있게 합니다."
34,광명단페인트,"질문 : 광명단페인트는 무엇이죠?  답변 : 방청안료인 광명단을 보일드유 또는 전색제에 녹인 유성페인트인 광명단은 사산화삼납(Pb304) 함유량에 따라 1종, 2종, 3종으로 구분된다. 주로 벽면이나 목재에 사용되며 광택이 도는 면으로 유성페인트로 사용된다. 안전에 주의하고 적절한 보호장비를 착용하여 사용해야 한다. 미술 및 장식 용도로 사용되며 광채와 독특한 질감을 제공한다."
35,굽도리,"질문 : 굽도리가 어떤 용도로 사용되는지 알고 계신가요?  답변 : 굽도리는 걸레받이를 대체할 수 있는 자재로, 벽과 바닥면의 이음새에 부착하는 스티커 형태의 제품입니다. 이를 통해 먼지나 땀이 쌓이는 것을 방지하고 청결한 환경을 유지할 수 있습니다. 굽도리는 주로 실리콘 소재로 제작되어 깔끔한 외관을 유지하며, 청소도 편리해지고 이물질이 쌓이는 것을 방지합니다."
36,규산염페인트,"질문 : 규산염페인트는 어떤 특징을 가지고 있나요?  답변 : 규산염페인트는 규산염과 방청안료를 주원료로 사용하여 만든 페인트로, 주로 내부용으로 사용됩니다. 청색과 검정색의 제품이 주로 사용되며, 내수성이 강하여 주로 벽면에 사용됩니다. 또한, 규산염페인트는 환경에 친화적이며 방부제를 포함하지 않아 인체에 무해합니다."
37,규산질계 침투성 도포 방수공사,"질문 : 규산질계 침투성 도포 방수공사는 무엇을 의미하나요?  답변 : 규산질계 침투성 도포 방수공사는 콘크리트 표면에 무기질의 활성 실리카 성분을 포함한 침투성 물질을 도포하여 콘크리트의 간극이나 공극에 침투시켜 수밀한 방수층을 형성하는 작업입니다. 이 방법은 외부 노출 콘크리트 표면, 실내 노출 콘크리트 표면, 외부 제물치장 콘크리트 표면, 그리고 실내 제물치장 콘크리트 표면에 적용됩니다. 이러한 공사를 통해 콘크리트의 수명을 연장하고 보다 효과적으로 방수 기능을 제공할 수 있습니다."
38,그라스울,"질문 : 그라스울의 단점은 무엇인가요?
그라스울의 장점은 무엇인가요?
그라스울이 무엇인지 자세히 알려주세요.  답변 : 그라스울은 유리조직으로 맨손으로 만지면 다칠 수 있고 내부마감을 꼼꼼히 하지 않을 경우 가루가 누출될 수 있는 단점이 있습니다. 그러나 그라스울은 단열성능이 뛰어나고 운반, 보관, 및 취급이 용이하며 내화성이 높고 가벼운 재질로서 건물 구조물의 단열재로 널리 사용되고 있습니다. 또한 그라스울은 폐유리를 고온에 녹인 후 섬유처럼 뽑아내어 만든 친환경적이고 재활용 가능한 소재로, 건축 및 집 업계에서 널리 사용되고 있습니다."
39,그라스울 보온판,"질문 : 그라스울 보온판에 대해 설명해줘
 그라스울 보온판은 어떤 재질로 만들어져 있나요?  답변 : 그라스울 보온판은 유리섬유에 폴리우레탄 필름으로 래핑하여 만들어진 건축용 단열흠음재로, 섬유질 타입으로 섬유 안의 공기가 음을 흡수하여 우수한 흡음 성능을 가지고 있습니다. 이 제품은 주로 세대간 경계벽체에 사용되며, 목조주택의 스터드나 배관 단열용으로도 적합합니다. 불연재료로 제작되어 화재 시 유독 가스를 발생시키지 않으며, 난연 및 방염 특성을 가지고 있습니다. 그러나 수분흡수성이 강하고 열성능이 떨어지며 글라스울의 상태유지 온도는 350℃로, 화재 시 내화성이 부족할 수 있습니다. 따라서 적절한 통기와 방수 처리가 필요하며, 주의가 필요한 제품입니다."
40,금속기와,"질문 : 금속기와가 뭐야?
금속기와의 단점은 뭐야?
금속기와의 장점은 뭐야?  답변 : 금속기와는 금속으로 제작된 기와로, 일반 기와에 비해 무게가 1/6 정도이며 운송 및 시공이 간편한 것이 특징입니다. 또한, 햇빛이나 비바람 등의 영향을 더 잘 견디고 오래 사용할 수 있다는 장점이 있습니다. 주로 산업 시설, 상업 시설, 교육 기관 등에서 사용되며, 최근에는 주택 등에서도 인기가 있는 재료입니다. 단점으로는 시공이 잘못되면 누수가 발생할 수 있고, 디자인 측면에서는 점토기와 비교했을 때 고급진 분위기가 덜하다는 단점이 있습니다."
41,기둥-보 구조 방식,"질문 : 기둥-보 구조 방식은 무엇인가요?  답변 : 기둥-보 구조 방식은 건축에서 사용되는 가장 오래된 목구조 방식 중 하나로, 통나무 구조에서 발전하여 주로 상업 건물이나 대형 주택 등에 사용됩니다. 이 방식은 건물을 지탱하는 기둥과 이를 연결하는 보로 구성되어 있으며, 건물의 중량을 주축인 기둥과 보로 전달하는 방식입니다. 최근에는 전통적인 플랫폼 구조와 결합하여 사용되기도 합니다."
42,난연재료,"질문 : 난연재료가 뭐야?
난연재료는 어떤 역할을 하는 거죠?  답변 : 난연재료는 불에 접촉해도 발화되지 않고, 5분 이상 화재에 견딜 수 있는 소재를 말합니다. 이러한 소재는 화재로부터 안전한 환경을 제공하는 역할을 합니다. 건물 구조물이나 가구 등 다양한 곳에서 사용되며, 화염에 저항하여 화재로부터 보호하는 역할을 합니다. 또한 빠르게 확산되는 것을 방지하고 인명과 재산을 보호합니다."
43,내단열,"질문 : 내단열은 무엇인가요? 
내단열의 장점과 단점을 알려주세요 
답변 : 내단열은 건축의 내부 벽면에 설치되는 단열재를 의미합니다. 내단열의 경우 건물 안쪽에 벽체와 슬라브 등이 지나가기 때문에 상대적으로 중간중간에 빈틈이 생기기 쉬워 열교 현상과 결로가 발생할 확률이 높아져 단열효과가 떨어질 수 있습니다. 또한, 단열재 두께만큼 실내 유효면적이 줄어들어 면전확보에 불리하다는 단점이 있습니다. 하지만 공사비, 재료비, 인건비가 적게 들어 비용이 저렴하다는 점과, 실내에서 작업해 날씨에 구애받지 않는 등의 시공이 간편하다는 점, 유지보수가 쉽다는 장점이 있습니다."
44,내진구조,"질문 : 내진구조에 대해서 알려줘  답변 : 내진구조는 강한 지진에도 건물이나 시설물이 붕괴되지 않도록 설계된 구조를 말합니다. 이를 위해 철근 콘크리트의 내진벽과 같은 부재를 설치하여 건물을 견고하게 만들어 지진에 대비합니다. 내진구조는 지진으로부터 건물을 보호하고 안전성을 유지하는 것이 목적이며, 지진 발생 시 인명 피해와 재산 손실을 최소화하는 역할을 합니다. 내진설계를 통해 건물이 지진에 대응할 수 있도록 고려되며, 지진 시 건물의 토양이나 지반에 의해 발생하는 흔들림에도 견딜 수 있도록 설계됩니다."
45,내진설계,"질문 : 내진설계에는 어떤 종류가 있는지 자세히 알려주실 수 있나요?  
내진설계에서 안정성이 높은 순서대로 말해줘  답변 : 내진설계에는 주로 내진구조, 제진구조, 면진구조의 세 가지 종류가 있으며, 이들은 건물을 지진으로부터 보호하기 위한 다양한 방법을 제공합니다. 내진설계는 내진구조, 제진구조, 면진구조 순으로 안정성이 높습니다. 내진구조는 지진 시 건물의 외력을 분산시키는 역할을 하며 안정성이 가장 높습니다. 제진구조는 지진으로부터 건물을 보호하는 역할을 하며 고층 건물 등에서 사용됩니다. 면진구조는 외벽을 통해 지진으로 인한 외력을 건물 구조 내부로 전달하는 구조로, 안정성이 낮은 편입니다. 내진설계의 종류는 지역의 지진 환경 및 건물의 특성에 맞게 선택되며, 안전하고 견고한 건물을 만드는 데 중요한 역할을 합니다."
46,내후성강판,"질문 : 내후성강판은 어떤 재료로 만들어지고 어떤 용도에 주로 사용되는지 알려주세요.  답변 : 내후성 강판은 철강재에 소량의 인, 동, 크롬, 니켈 등을 첨가한 자재로, 표면에 치밀한 녹층이 형성되어 물과 산소의 투과를 제한하여 부식을 억제합니다. 이로 인해 내후성 강판은 일반 강보다 4~8배의 내후성을 가지고 있습니다. 주로 해양, 화학, 석유, 전력 등 강한 부식 환경에서 사용됩니다."
47,냉장고 이동,"질문 : 냉장고를 옮길 때 어떤 점을 주의해야 하나요?  답변 : 냉장고를 옮기는 방법은 다양하지만, 일반적으로는 냉장고의 다리 받침대를 푼 후 바퀴를 이용하여 옮기는 것이 일반적입니다. 옮기기 전에는 냉장고 안의 식품을 비우고, 전원을 차단하고, 주변을 정리해야 합니다. 냉장고를 옮길 때는 냉장고를 기울이지 않도록 주의해야 하며, 옮긴 후에는 냉장고를 수평으로 맞추고 전원을 다시 연결해야 합니다. 이렇게 함으로써 냉장고를 안전하게 옮길 수 있습니다."
