,question,contents
10,단열재 들뜸을 예방하려면 어떻게 해야 하나요?,"외벽쪽 단열 모르타르나 아이소 핑크 부분이 들뜨는 하자가 자주 발생할 수 있는데, 단열 모르타르의 경우 시공시에 아크졸과 바인더를 혼합하여 2회 도포해서 예방할 수 있습니다. 아이소핑크는 외부 끝 부분에서 약 5cm 정도 떨어진 지점에서 도배용 커터칼로 아이소핑크를 V형으로 틈을 내 제거하고, 제거한 틈에 도배용 수성 코킹이나 퍼티로 평활하게 충진하여 벽지 인장력에 대응하도록 사전 예방할 수 있습니다. 벽지 건조 후 이미 발생한 들뜸 하자에 대해서는 바늘 구경이 큰 주사기나 붓으로 도배용 본드를 도포하고 주걱으로 평활하게 마무리할 수 있습니다. "
11,도배 하자 중 이물질을 처리하는 법을 알려주세요.,"풀덩어리, 모래, 톱밥 등 이물질을 처리하기 위해서는 먼저 보수 부위의 도배용 커터칼을 눕혀서 PVC층만 L, U자 형으로 베어냅니다. 다음으로 이면지를 조심스럽게 벗겨내고 이물질을 제거하고, 베어낸 PVC 층의 벽지를 도배용 본드로 정교하게 붙이면 됩니다."
12,어떤 하자가 발생했을 때 재시공 하는 게 좋을까요?,"도배 하자 중 재시공 권유하는 경우는 장판지 철분, 다른 벽지 시공(오작), 무늬 맞춤 불량, 수직이나 수평 불량, 누수, 하자 보수 후 하자재발생 이상의 하자가 있습니다."
13,도배 공사 계획은 어떤 순서로 세워야 하나요?,"도배를 시작할 때 우선 공사 범위를 정하고, 벽지 종류를 선택해야 합니다. 합지벽지는 가격이 저렴하고 외부 충격과 오염에 약해 2~3년 거주할 계획일 때 추천합니다. 실크벽지는 벽지 표면에 PVC 코팅을 입혀 합지벽지보다 더 두껍고 오염에 강해 5년 이상 거주할 계획일 때 추천합니다. 다음으로는 벽지 컬러를 선택하고, 사전 시공이 있다면 미리 고지해야 합니다. 사전 시공의 예시로를 앞선 공사의 결과가 이어지는 문/문틀, 천장몰딩, 샤시 교체 공사 등이 있습니다. 또한 조명, 스위치, 콘센트 교체 여부도 결정해야 합니다."
14,벽지 종류 별로 도배 시공 기간은 어떻게 되나요?,"합지벽지는 당일 시공이 원칙이고, 실크벽지는 중형 평수(20~30평)은 1일, 대형 평수(40평 이상)은 2일 이상을 소요합니다."
15,도배 시공할 때 필요한 인원은 어느 정도인가요?,"도배 시공 인원은 먼저 도배평수(인원바닥면적(평)*2.5)를 계산해 그에 맞는 인원을 파악합니다. 합지벽지 시공은 도배사 한 명이 1일 기준 30평 내외이며, 실크벽지는 도배사 한 명이 1일 기준 15평 내외로 작업할 수 있습니다."
16,합지벽지와 실크벽지는 어떤 차이가 있나요?,"실크 벽지는 합지벽지에 비해 표면이 PVC 코팅되어 유지관리에 용이하고 내구성이 좋습니다. 또한 심미성, 탄력성, 보온성, 흡음성이 양호해 기능성이 뛰어납니다. 하지만 시공과정이 복잡하고 가격이 비쌉니다. 실크벽지는 이음매 맞춤 시공 방식을 사용하고, 부직포로 초배지 작업을 하기 때문에 바탕면이 좋지 못해도 깔끔한 마감을 지을 수 있습니다. 합지벽지는 PVC 코팅이 없어 오염되기 쉽지만 친환경적이고 통풍이 상대적으로 양호합니다. 가격이 저렴하고 시공이 간편하다는 장점이 있습니다. 합지벽지는 이음매 겹침 시공 방식을 사용해 5mm 가량의 겹침 부분이 보입니다."
17,집 평수에 맞는 도배 방법을 알려주세요,"소형 평수(10평대)일 경우 공간이 답답해 보이지 않도록 밝은 컬러의 벽지를 선택하는 것이 좋습니다. 무늬가 큰 패턴이나 짙은 색상의 벽지는 공간을 더 좁아 보이게 하므로, 작은 텍스쳐가 틀어간 밝은 색상 계열의 벽지를 추천합니다. 중평 평수(20~30평대)는 엠보싱이 뚜렷하고 프린트가 잘 표현된 밝은 색상의 벽지와 함께 상대적으로 짙은 포인트 벽지를 활용하시길 추천합니다. 포인트벽지는 비교적 공간이 넓은 거실의 TV 뒷면이나 안방의 침대 헤드부분에 도배하는 것이 일반적입니다. 대형 평수(40평대 이상)에서는 각 공간의 경계가 분명해지고 독립성을 지니게 됩니다. 여러 공간을 같은 벽지로 할 경우 다소 지루해 보일 수 있습니다. 각 공간에 맞는 적절한 컬러 배색과 함께 비교적 무늬가 큰 패턴의 벽지를 포인트로 사용하여 공간에 재미를 줄 수 있습니다."
18,도배 자재는 어떤 것이 있을까요?,"도배 자재는 초배지와 정배지로 나뉘는데, 초배지의 경우 부자재에 속해서 생소해 보일 수 있습니다. 초배지는 도배를 하기 전에 바탕에 시공되는 도배지로 보통 일반 초배지, 부지포, 운용지 등이 있고, 석고보드 조인트 면에 사용하는 네바리(보수초배지)가 있습니다. 정배지는 우리가 알고 있는 합지벽지, 실크벽지, 발포벽지, 친환경소재벽지를 말하며 마감이 되는 벽지를 의미합니다."
19,발포 벽지와 친환경소재 벽지는 무엇인가요?,"발포벽지는 실크벽지와 비슷하지만 코팅이 발포처리된 벽지입니다. 오염에 약해 최근에는 잘 사용하지 않습니다. 친환경소재 벽지는 PVC 코팅이 아닌 옥수수, 규조토의 친환경 원료를 코팅으로 사용하는 벽지를 말합니다."
20,도배 시공 순서는 어떻게 되나요?,"도배 시공 순서는 기존 벽지가 많이 있다면, 기존 벽지를 철거하고 바탕면을 정리, 초배지 시공, 정배지 시공, 양생 순으로 진행됩니다. 가끔 천정시공 후 벽을 할지 고민하는데 현장 상황에 맞추어 하면 되지만 천정부터 하는 것을 추천합니다. 이유는 천정 작업을 하면서 벽체에 풀이 과다하게 붙는 경우가 있어서 추후 도배 풀 닦을 때 힘들 수 있기 때문입니다."
21,도배 시공할 때 주의해야 할 점이 있나요?,"도배 시공 포인트는 다음과 같습니다.
1. 바탕면 정리
2. 도배지 컷팅부위 관리
3. 시공 완료 후 도배풀 등 청소 및 양생 관리 
4. 양생 시 공기 순환"
22,"결로는 무엇이고, 결로의 원인에는 어떤 것이 있을까요?","결로는 공기 중의 수증기가 벽이나 천장, 바닥에 닿아 응축되어 물방울이 맺히는 현상으로 대표적으로 곰팡이가 있습니다. 결로 현상은 실내 외 온도 차이가 15도 이상 나거나 습도가 상당히 높고 충분한 환기와 통풍이 되지 않을 때 발생할 수 있습니다. 또한 적절하지 못한 건축 계획으로 일조량과 통풍의 문제로 결로가 발생할 수있고, 내부 투습성이 높은 재료로 단열하거나 이음매가 불량한 경우 내부에서 결로가 발생할 수 있습니다. 단열재를 내부에 밀실하게 채우지 않았거나 틈새가 벌어진 경우에도, 냉교 및 열교 현상으로 내부 결로나 부분결로가 발생할 수 있습니다."
23,결로를 예방하는 방법을 알려주세요.,"결로 예방을 위해 환기, 단열공사, 온도 및 습도 조절 등을 추천할 수 있습니다. "
24,발생 원인 별로 결로의 종류를 알려주세요.,"발생 원인 별 결로 종류로는 표면 결로와 내부 결로가 있습니다. 표면 결로는 실내 공기 중 수증기가 벽 등 저온 부분 표면에 접촉하여 발생하고, 내부 결로는 벽체 등 구조물 내부에 수증기의 온도 저하로 발생합니다."
25,결로는 어떻게 해결할 수 있나요?,"결로는 단열 보강, 난방관리, 생활습관 등으로 해결할 수 있습니다. 단열 보강은 실내공기가 노점온도 이하가 되지 않도록 건축물 표면에 단열공사를 하거나, 표면결로 방지와 동시에 방습층을 단열층의 온도가 높은 쪽에 설치하는 방법이 있습니다. 또한 단열재, 이중창호, 건물 기밀화 등에 의해 실내를 보온하거나 외단열 공법을 사용할 수 있습니다. 난방 관리의 경우 실내 온도를 적정하게 유지하고 낮은 온도로 난방을 길게 하고 높은 온도로 난방을 짧게 하는 방법이 있습니다. 마지막으로 생활 습관은 주간에 전체 창문을 개방하고 환기를 실시하거나, 제습기를 틀어놓는 방법 등이 있습니다. "
26,"냉교 현상은 무엇인가요?
열교 현상은 무엇인가요?","냉교 현상은 벽, 바닥, 슬래브 및 지붕 등의 구조체에 단열재 시공이 연속되지 못하고 끊기는 열적 취약부위가 있는 경우에 실내의 냉기가 직접 구조체를 통해 차가운 실외에서 따뜻한 실내로 이동하는 현상입니다. 열교 현상은 벽, 바닥, 슬래브 및 지붕 등의 구조체에 단열재 시공이 연속되지 못하고 끊기는 열적 취약부위가 있는 경우에 실내의 열기가 직접 구조체를 통해 따듯한 실내에서 차가운 실외로 이동하는 현상입니다."
27,베란다에 결로가 발생하는 원인과 해결책을 알려주세요.,"베란다는 외기와 직접적으로 접하는 벽면으로 외부의 찬공기가 실내의 온도와 습도의 변화에 의해서 결로와 곰팡이가 발생합니다. 또한, 베란다는 물을 자주 사용하고 세탁물을 건조하거나 화초를 키우는 등 대체적으로 상대습도가 높아서 결로와 곰팡이에 더 취약합니다. 이러한 결로와 곰팡이를 예방하려면 평상시 생활습관에서 베란다의 전, 후면 창문을 개방하여 매일 규칙적으로 환기를 시켜주어야 합니다. 그리고, 근본적인 해결방법은 인슐래드 결로방지 단열도료를 칠하거나 결로방지 단열 미장마감재(인슈바이오쉴드) 및 결로방지 단열 뿜칠 마감재(인슈모노코트)로 시공하는 방법이 있으며, 진공 압축 복합단열공법으로 시공을 하면 더 완벽하게 해결될 수 있습니다."
28,베란다 확장부위에 결로가 발생하는 원인은 무엇인가요?,"베란다 확장부위 결로 곰팡이원인은 베란다 확장공사를 하면서 단열공사규정(단열재두께, 종류 등)을 제대로 지키지 않았거나 콘크리트 벽면과 단열재 사이, 단열재와 단열재 연결부위 등 틈이 없이 기밀하게 밀착시공을 하지 않는 등 부실 시공이 원인이 될 수 있습니다. 또한, 현장환경과 조건에 맞는 단열재 선택과 공사방법의 선택도 매우 중요한 공사전의 고려사항이라고 할 수 있습니다."
29,"실내 벽면에서 결로가 발생했을 때 어떻게 해야 하나요?
천정에 곰팡이가 생기면 어떻게 해야 하나요?","실내벽면 · 천정의 경우 결로현상이 아니고 단순한 습기로 인한 벽면의 곰팡이는 평상시에 창문을 매일 열어서 환기를 시켜주면 많이 완화될 수 있습니다. 결로현상은 있지만 물방울이 맺히지 않고 약간 축축한 정도라면 벽지를 제거하고 곰팡이 살균제거작업을 한 후에 벽면이나 천정의 상태에 따라서 균열이나 박리된 부분 등을 보수하고 건조시킨 후에 인슐래드 결로방지 단열도료로 2~3회 칠 해주고 건조 후에 벽지로 마감하면 해결이 가능합니다. 그러나, 결로현상이나 곰팡이가 심하여 벽이나 창호, 천정쪽에 문제가 있을 경우에는 벽지를 제거하고 벽면이나 창호, 천정 및 외벽마감상태 등을 종합적으로 점검하여 진단한 다음에 단열공사를 어떻게 할 것인지 결정하는 것이 좋습니다. 최상층의 천정에서 물방울이 떨어지는 경우에는 결로인지 누수인지를 정확히 확인해야만 됩니다. 또한, 창호나 외벽에 문제가 있어서 누수가 있을 경우에는 원인에 따라 창호주위나 외벽의 코킹작업 및 외벽방수시공을 하는 것이 좋습니다."
30,"창문 주변에 결로나 곰팡이가 발생하는 원인은 무엇이고, 어떻게 해결하면 되나요?","주거용주택이나 일반건축물에서 결로가 가장 많이 발생하는 곳이 창호 쪽 입니다. 창호의 결로현상은 당연하다고 방치하는 경우가 많은데, 방치할 경우에는 커튼이나 가구 등이 물에 젖고 곰팡이가 발생하여 물이 흘러서 벽면을 하고 바닥까지 스며들어 피해가 많이 발생할 수 있습니다. 창호의 결로현상을 방지하기 위해서는 단열 샷시와 다층유리를 이용해 유리와 샷시의 표면온도를 높여 주어야 하고 이중창호나 덧문을 설치하는 것도 효과적인 방법이 될 수 있습니다. 또한, 유리에 단열필름이나 유리 단열 차열 코팅제를 시공하면 결로를 많이 완화시킬 수 있습니다. 특히, 결로가 발생하면 실내의 공기가 오염되므로 매일 규칙적으로 환기를 하여 오염된 공기를 제거해 주는 것이 좋습니다."
31,붙방이장 주변에 곰팡이가 생겼어요. 어떻게 해야 하나요?,"붙박이장이 설치돼 있는 곳에도 결로가 흔히 발생하는 곳 중의 하나입니다. 붙박이장을 설치할 때는 벽면의 규정에 맞는 단열공사를 제대로 하여 결로나 곰팡이 발생을 사전에 예방하는 것이 좋습니다. 또한, 붙박이장을 설치 할 때는 옆면과 후면을 5cm이상 띄워주고 통풍구를 설치하여 공기가 충분하게 통풍이 될 수 있도록 하는 것이 바람직합니다. 붙박이장 주위에 결로나 곰팡이가 발생했다면 공기가 잘 통하지 않는 밀폐된 공간이고 외기와 직접 만나는 벽면이기 때문에 매우 심해질 수 있으므로 확인점검 후 최대한 빠른 시일 내에 곰팡이의 살균제거와 인슐래드 결로방지 단열도료를 칠하고 단열공사를 하거나 곰팡이방지 향균 코팅작업을 추가로 하면 매우 좋습니다."
32,"방바닥에 결로가 생겼으면 어떻게 해야 하나요?
벽면하부에 곰팡이가 생겼는데 원인이 무엇인가요?","방바닥이나 벽면하부의 결로 곰팡이는 다양한 원인으로 생각해 볼 수 있습니다. 우선 1층이나 반지하와 같이 방바닥이 지면(흙)과 면해있는 바닥의 경우에는 비나 눈이오면 물이 지면 속으로 흡수되어 건축물의 바닥하부로 물이 일부 흘러 들어와 습기가 올라오는 경우가 있고, 벽면이나 벽면창호의 외벽에서 누수로 인하여 물이 내벽으로 유입되는 경우가 있을 수 있으며, 벽면의 단열미비나 시공하자 등으로 인하여 결로가 발생되어 벽을 타고 흘러서 방바닥으로 스며 드는 경우도 있을 수 있는 등등 여러 가지 원인이 있을 수 있습니다. 가장 중요한 사항은 결로 곰팡이의 발생원인이 무엇인지를 점검을 하여 원인이 확인이 되면 해결방법은 발생원인에 따라서 현장여건에 가장 적합한 방수공법과 단열공법을 동시에 선택하여 조치하면 완전하게 해결이 가능합니다."
33,필로티 구조의 방바닥이나 내부벽면의 결로는 어떻게 해결할 수 있나요?,"필로티 구조는 지상에 기둥이나 내력벽을 세워서 건물 전체나 일부를 짚면에서 띄워 지상 층을 개방한 구조로 지상층은 보행이나 주차, 차량 통행에 주로 사용되고 2층에는 거주 공간이나 사무실 등으로 사용합니다. 필로티 구조는 1층에 기둥만 이쏙 붕 떠있는 상태라서 1층 천정(2층 바닥)과 냉기(차가운 공기)가 직접 접촉하기 때문에 단열이 미비할 경우에 열손실이 많고 바닥에 결로 곰팡이가 발생되고 바닥을 타고 벽으로 올라갈 수 있습니다. 특히, 단열공사가 돼 있어도 2층 바닥과 벽면의 모서리 부위는 단열이 취약한 부위이므로, 방바닥 가장자리의 일정부분을 단열을 보강하고 벽면도 단열을 보강하는 등의 조치가 필요합니다. 또한, 바닥전체가 단열미비로 인한 문제가 있다면 1층 천정전체를 우레탄 폼 단열재나 단열미장 마감재로 시공을 하면 매우 좋습니다."
34,욕실에 생긴 곰팡이 처리 방법을 알려주세요,"욕실은 물을 많이 사용하는 공간으로 상대습도가 높아서 습기와 곰팡이가 많이 발생합니다. 욕실내부를 항상 건조하고 청결하게 하는 것이 중요하며, 목욕 후 욕조의 물은 바로 버리는 것이 좋으며 욕조를 사용했거나 샤워를 한 후에는 욕실창문을 열어주거나 환풍기를 가동하여 환기를 시켜 주어야 합니다. 만약에 타일 줄눈이나 실리콘 코킹 부위에 곰팡이가 발생하면 초기에 즉시 곰팡이를 살균제거하면 훨씬 효과적으로 관리가 가능합니다."
35,주방에 곰팡이가 생겼을 때 어떻게 처리하면 될까요?,"주방은 특히 음식조리 시에 수증기가 많이 발생하는 곳입니다.  조리 중이나 조리 후에는 주방후드(환풍기)를 가동하고 창문을 열어서 조리중의 수증기나 일산화탄소, 악취 등이 실내에 정체되지 않도록 하고 상대습도를 낮게 유지시켜 습한 공기가 실내에 정체 되지 않도록 관리를 하는 것이 좋습니다. 냉장고는 벽면에서 10cm이상, 주방가구는 설치 시 벽면과 5cm이상 띄워서 공기가 충분하게 통풍이 될 수 있도록 하는 것이 바람직합니다."
36,지하층에 곰팡이를 해결하려면 어떻게 해야 하나요?,"지하층은 여름장마철이나 비가 자주 내리면 상대습도가 높아지고 결로가 많이 발생하는 곳입니다.여름철에 지하층의 벽면은 저온이고 환기가 잘 안되어 습기가 정체되기 때문에 벽면에 결로가 발생하고 벽면이 지면과 면해 있어서 습기가 벽으로 일부 유입될 수 있습니다. 특히, 지하층을 창고로 사용할 경우에는 결로 곰팡이가 많이 발생할 수 있습니다. 결로 현상을 방지하려면 벽면을 이중 벽 쌓기로 마감하거나 벽면과 벽면 사이에 단열재를 설치하여 실내와 외부와의 온도 차이를 최대한 줄여주는 것이 좋은데, 지하층인 경우에는 여름철에 상대 습도가 높기 때문에 결로방지 단열 미장 마감재(인슈 바이오 쉴드)나 결로방지 단열 뿜칠 마감재(인슈 모노코트 등)를 채택하여 시공하면 매우 좋습니다. 그리고 급기, 배기 장치의 환기 설비를 하여 가동하면 습한 공기가 정체되지 않고 밖으로 배출되어 결로와 습기를 줄이는데 도움이 되고, 제습기를 가동하여 습도를 낮추어 주는 방법도 도움이 됩니다."
37,반지하층에 곰팡이를 해결하는 방법을 알려주세요.,"반지하층의 방 내부 결로 곰팡이반지하층의 경우에는 여름철에 벽이 반 정도는 지면속에 묻혀 있어서 지하층 벽면과 같이 겨롤에 취약하고 습기가 정체되어 벽면에 결로 곰팡이가 많이 발생합니다. 또한, 여름철에 제습기를 가동하여 상대습도를 낮추어 주는 방법도 도움이 됩니다. 지면에 면한 벽면으로 습기가 침투하지 못하도록 방수처리를 하고 단열시공을 하거나 결로방지 단열 미장 마감재를 시공하면 해결이 됩니다. 반대로 겨울철에는 지상에 벽면이 반쯤 노출되어 있는데, 찬 공기 접촉으로 인한 결로를 예방하기 위해서 단열 시공을 하거나 미장타입의 결로방지 단열 미장 마감재를 시공하면 해결됩니다."
38,곰팡이나 결로를 방지할 수 있는 시공 방법이 있을까요?,"결로 및 곰팡이 방지 시공은 다음과 같이 진행됩니다.
1. 서비스벽지제거 및 단열재 철거작업
2. 곰팡이 자국제거 및 살균작업
3. 곰팡이 냄새제거 및 실내 환기작업
4. 하도 프라이머 도포 및 특수방수작업
5. 바탕면 보수작업
6. 인슐래드 결로방지 단열도료 코팅작업
7. 곰팡이방지 항균 코팅작업"
39,하자 판정 기준은 어떻게 되나요?,"하자판정 기준은 아래와 같습니다. 
(1) 미관상 측면 : 매우 주관적인 문제로 각 나라 또는 지역마다 사람에 따라 차이가 날 수 있으므로, 계약 단계에서 시공자와 발주처(건축주)가 합의된 내용이 없다면 사용성과 내구성 측면에서 허용 균열폭으로 기준을 삼는 것이 일반적이라고 할 수 있다. 
(2) 사용성 측면 : 모든 구조물은 안정성이 우선적으로 확보되어야 하고, 그리고 사용성이 확보되어야만이 사용자들이 그 구조물을 이용할 수 있다. 즉 구조물이 무너지지 않는다 하더라도 과도한 처짐이나 진동 및 누수가 발생나면 사용할 수가 없다. 
(3) 내구성 측면 : 시멘트가 수화 반응을 일으켜 수산화칼슘염(Ca(OH))을 만드는데, 이 수산화칼슘은 대기 중에 있는 이산화탄소와 접하면 탄산칼슘(CaCO)의 결정체로 변하는 탄산화가 발생하고, 염소이온 등 부식물질이 침투하여 철근을 부식시킨다. 이에 따라 내구성 측면에서 각국은 허용 균열 폭을 설정하고 있다.설계도면과 다르게 시공을 실시하였다고 모두 하자라고 보기에는 한계점이 있으며, 도면과 다르게 시공하는 것을 오 시공이라 하며, 시공하지 않은 것을 미 시공이라 칭한다.
"
40,입주 후 하자 유형은 어떤 것이 있을까요?,"입주 후 하자유형고비용 군집은 두 가지 공종이 높은 비용으로 산정이 되었는데, 도배공사와 타일공사가 가장 큰 하자보수비용을 산정하는 공종으로 선정이 되었습니다. 도배공사시 하자가 발생하는 요인을 살펴보면, 찢김/긁힘, 들뜸, 면불량, 오염, 이음불량, 재단불량, 터짐, 꼬임 2.8%, 이색, 미시공, 변색, 파손 등이 있습니다. "
41,신축 공동주택에서 실내 마감공사는 어떤 것이 있을까요?,"신축 공동주택 실내마감공사는 천정, 벽, 바닥으로 구성되어 있으며, 구조재를 보호하여 사용연한을 늘려주고 외기에 의한 외풍을 막아주며 미적인 욕구를 충족하기 위한 인테리어성 기능을 하는 건축 공정이다 "
42,도배 공사는 무엇을 의미하나요?,"도배공사는 집의 벽과 천정 등 구조재를 보호하는 본원적 기능뿐만 아니라 외기에 의한 외풍을 차단하는 기능과 미적인 욕구의 충족을 위한 인테리어성 기능을 하는 건축공정입니다.  신축공동주택의 도배공사의 경우, 비닐 코팅을 표면에 처리한 실크벽지를 주로 사용하는데, 다양한 디자인과 색상으로 제작되어지며 최근 친환경인증을 받은 클로버 마크 인증 제품을 많이 사용합니다."
